station,water_depth_ft,slope_decimal,soil_shear_lb_ft2,sediment_transport_lb_s_410ft,sediment_transport_kg_s_m,velocity_ms,condition,biocontrol,ponding_depth_m,water_depth_m
15,2.01,0.0105,1.32,131.45,1.56,1.3,precontrol_ponding_1.0m,0,1.0,0.612648
16,0.98,0.0112,0.68,34.61,0.41,1.2,precontrol_ponding_1.0m,0,1.0,0.298704
17,2.21,0.011,1.51,172.19,2.05,1.0,precontrol_ponding_1.0m,0,1.0,0.673608
18,1.09,0.0151,1.03,79.85,0.95,1.1,precontrol_ponding_1.0m,0,1.0,0.332232
19,1.31,0.0132,1.08,87.84,1.05,1.3,precontrol_ponding_1.0m,0,1.0,0.39928800000000003
20,2.1,0.0108,1.42,152.21,1.81,1.3,precontrol_ponding_1.0m,0,1.0,0.6400800000000001
1,1.92,0.009,1.08,20.19,0.95,1.0,postcontrol_ponding_1.0m,1,1.0,0.585216
2,2.81,0.0067,1.17,94.19,1.12,0.75,postcontrol_ponding_1.0m,1,1.0,0.856488
3,2.12,0.012,1.59,174.39,2.07,1.2,postcontrol_ponding_1.0m,1,1.0,0.6461760000000001
4,2.73,0.0095,1.62,181.05,2.1,0.9,postcontrol_ponding_1.0m,1,1.0,0.8321040000000001
5,1.56,0.009,0.88,47.18,0.56,1.25,postcontrol_ponding_1.0m,1,1.0,0.475488
6,1.09,0.007,0.47,14.99,0.18,1.4,postcontrol_ponding_1.0m,1,1.0,0.332232
7,2.36,0.011,1.61,179.91,2.14,1.2,postcontrol_ponding_1.0m,1,1.0,0.719328
8,1.12,0.0076,0.53,19.11,0.23,0.91,postcontrol_ponding_1.0m,1,1.0,0.34137600000000007
9,0.56,0.0056,0.19,2.49,0.03,0.6,postcontrol_ponding_1.0m,1,1.0,0.17068800000000003
10,1.0,0.021,1.31,108.48,1.29,1.08,postcontrol_ponding_1.0m,1,1.0,0.3048
11,1.0,0.013,0.81,44.96,0.53,1.2,postcontrol_ponding_1.0m,1,1.0,0.3048
12,2.02,0.014,1.76,213.81,2.54,1.1,postcontrol_ponding_1.0m,1,1.0,0.615696
13,1.51,0.0096,0.9,55.58,0.66,0.7,postcontrol_ponding_1.0m,1,1.0,0.46024800000000005
14,3.0,0.0096,1.8,223.67,2.66,0.6,postcontrol_ponding_1.0m,1,1.0,0.9144000000000001
15,1.56,0.0105,1.02,71.49,0.85,1.0,postcontrol_ponding_1.0m,1,1.0,0.475488
16,0.95,0.0112,0.65,28.55,0.34,0.9,postcontrol_ponding_1.0m,1,1.0,0.28956
17,3.2,0.011,2.19,331.45,3.94,0.88,postcontrol_ponding_1.0m,1,1.0,0.9753600000000001
18,1.2,0.0151,1.13,87.83,1.05,0.22,postcontrol_ponding_1.0m,1,1.0,0.36576000000000003
19,1.52,0.0132,1.25,107.57,1.28,0.95,postcontrol_ponding_1.0m,1,1.0,0.46329600000000004
20,1.78,0.0108,1.19,97.45,1.16,1.1,postcontrol_ponding_1.0m,1,1.0,0.542544
1,2.51,0.009,1.41,150.06,1.79,1.7,precontrol_ponding_1.5m,0,1.5,0.765048
2,3.6,0.0067,1.51,172.19,2.05,1.2,precontrol_ponding_1.5m,0,1.5,1.09728
3,3.5,0.012,2.62,89.52,1.07,1.8,precontrol_ponding_1.5m,0,1.5,1.0668
4,3.2,0.0095,1.89,270.16,3.21,1.2,precontrol_ponding_1.5m,0,1.5,0.9753600000000001
5,2.4,0.009,1.34,135.48,1.61,1.5,precontrol_ponding_1.5m,0,1.5,0.7315200000000001
6,1.5,0.007,0.66,27.71,0.33,1.7,precontrol_ponding_1.5m,0,1.5,0.45720000000000005
7,3.23,0.011,2.2,369.19,4.39,1.8,precontrol_ponding_1.5m,0,1.5,0.984504
8,1.3,0.0076,0.62,28.73,0.34,1.2,precontrol_ponding_1.5m,0,1.5,0.39624000000000004
9,1.2,0.0056,0.42,13.072,0.16,1.4,precontrol_ponding_1.5m,0,1.5,0.36576000000000003
10,2.01,0.021,2.62,529.27,6.3,2.2,precontrol_ponding_1.5m,0,1.5,0.612648
11,1.51,0.013,1.22,112.21,1.33,1.5,precontrol_ponding_1.5m,0,1.5,0.46024800000000005
12,1.61,0.014,1.41,150.06,1.78,1.6,precontrol_ponding_1.5m,0,1.5,0.49072800000000005
13,2.31,0.0096,1.38,143.73,1.71,1.2,precontrol_ponding_1.5m,0,1.5,0.704088
14,3.6,0.0096,2.15,350.91,4.17,1.4,precontrol_ponding_1.5m,0,1.5,1.09728
15,2.2,0.0105,1.44,156.55,1.86,1.7,precontrol_ponding_1.5m,0,1.5,0.67056
16,1.2,0.0112,0.84,52.98,0.63,1.4,precontrol_ponding_1.5m,0,1.5,0.36576000000000003
17,2.63,0.011,1.79,242.25,2.88,1.2,precontrol_ponding_1.5m,0,1.5,0.801624
18,1.3,0.0151,1.22,112.29,1.33,1.6,precontrol_ponding_1.5m,0,1.5,0.39624000000000004
19,1.5,0.0132,1.24,115.94,1.38,1.3,precontrol_ponding_1.5m,0,1.5,0.45720000000000005
20,2.2,0.0108,1.48,165.39,1.97,1.4,precontrol_ponding_1.5m,0,1.5,0.67056
1,2.31,0.009,1.3,116.39,1.39,1.5,postcontrol_ponding_1.5m,1,1.5,0.704088
2,3.46,0.0067,1.45,144.93,1.72,1.01,postcontrol_ponding_1.5m,1,1.5,1.054608
3,3.51,0.012,2.62,474.77,5.64,1.63,postcontrol_ponding_1.5m,1,1.5,1.069848
4,3.22,0.0095,1.91,251.51,2.99,0.98,postcontrol_ponding_1.5m,1,1.5,0.9814560000000001
5,2.2,0.009,1.24,105.85,1.26,1.2,postcontrol_ponding_1.5m,1,1.5,0.67056
6,1.25,0.007,0.55,20.59,0.24,1.4,postcontrol_ponding_1.5m,1,1.5,0.381
7,3.0,0.011,2.06,320.97,3.87,1.2,postcontrol_ponding_1.5m,1,1.5,0.9144000000000001
8,1.01,0.0076,0.47,15.28,0.18,1.0,postcontrol_ponding_1.5m,1,1.5,0.307848
9,2.95,0.0056,1.03,72.91,0.87,0.98,postcontrol_ponding_1.5m,1,1.5,0.8991600000000001
10,1.42,0.021,1.86,238.88,2.84,2.1,postcontrol_ponding_1.5m,1,1.5,0.432816
11,2.5,0.013,2.03,284.12,3.38,1.4,postcontrol_ponding_1.5m,1,1.5,0.762
12,2.4,0.014,2.1,303.83,3.61,1.3,postcontrol_ponding_1.5m,1,1.5,0.7315200000000001
13,2.2,0.0096,1.32,120.02,1.43,0.98,postcontrol_ponding_1.5m,1,1.5,0.67056
14,3.2,0.0096,1.92,254.58,3.03,1.2,postcontrol_ponding_1.5m,1,1.5,0.9753600000000001
15,2.1,0.0105,1.38,131.23,1.56,1.1,postcontrol_ponding_1.5m,1,1.5,0.6400800000000001
16,1.0,0.0112,0.69,32.97,0.39,1.2,postcontrol_ponding_1.5m,1,1.5,0.3048
17,2.3,0.011,1.58,172.19,2.04,0.7,postcontrol_ponding_1.5m,1,1.5,0.70104
18,1.2,0.0151,1.13,87.83,1.04,1.0,postcontrol_ponding_1.5m,1,1.5,0.36576000000000003
19,1.3,0.0132,1.07,78.71,0.93,1.2,postcontrol_ponding_1.5m,1,1.5,0.39624000000000004
20,2.1,0.0108,1.4,95.28,1.33,1.01,postcontrol_ponding_1.5m,1,1.5,0.6400800000000001
